iso,sub_indicator,2010,2011,2012,2013,2014,2015
ET,Small Hydro,78,78,78,78,78,78
GH,Small Hydro,0,0,0,0,0,0
GT,Small Hydro,242.52,284.4,288.86,268.34,321.2,402.369
GY,Small Hydro,0,0,0,0,0,0
HN,Small Hydro,146.5,149.18,157.79,157.79,243.7,252.3
HT,Small Hydro,                -  ,48,55,54,63.3,63.3
ID,Small Hydro,14,64,68,107,170,250
IN,Small Hydro,4010,4309,4580,4948,5076,5485
IN-AP,Small Hydro,86.398,89.098,89.098,89.098,89.098,89.098
IN-BR,Small Hydro,58.3,61.3,70.7,70.7,70.7,70.7
IN-MP,Small Hydro,161,161,161,161,161,161
IN-OR,Small Hydro,64.3,64.3,64.3,64.625,64.625,64.625
IN-UP,Small Hydro,53.9,55.7,55.7,55.7,55.7,55.7
IN-WB,Small Hydro,109.04,109.04,118.04,118.04,118.04,118.04
JM,Small Hydro,22.8,22.8,22.8,22.8,29.1,29.1
JO,Small Hydro,12,12,12,12,12,12
KE,Small Hydro,110,114.6,97.3,101.3,101.814,13.7
LB,Small Hydro,79,79,79,79,79,79
LK,Small Hydro,175.4,193.6,227,266.9,287.7,306.669
LR,Small Hydro,4,4,4,4.06,4.06,5.06
MM,Small Hydro,30,30,30,70,70,70
MW,Small Hydro,4.35,4.35,4.35,4.35,4.35,4.35
MX,Small Hydro,477.552,513.552,517.602,520.402,568,595
MZ,Small Hydro,56,56,56,56,57.63,57.63
NG,Small Hydro,30,30,30,32,62,62
NI,Small Hydro,51,51,51,65,65,83.6
NP,Small Hydro,249.98,259.93,279.19,309.33,315.1,367.75
PA,Small Hydro,200.03,274.38,305.56,335.26,205.7,297.97
PE,Small Hydro,532.176,603.53,631.77,647.77,702.76,702.76
PK,Small Hydro,119,119,138,138,177,177
PY,Small Hydro,0,0,0,0,0,0
RW,Small Hydro,50.85,56.23,57.13,60.03,78.3,78.3
SL,Small Hydro,56.75,56.75,56.75,56.75,56.75,56.3
SN,Small Hydro,0,0,0,0,0,0
SR,Small Hydro,0,0,0,0,0,0
SV,Small Hydro,20,20,20,20,20,37.2
TJ,Small Hydro,62.42,62.42,64.48,71.08,127.6,127.6
TT,Small Hydro,0,0,0,0,0,0
TZ,Small Hydro,29,29,34.4,34.4,34.4,37.69
UG,Small Hydro,23.35,53.35,65.914,66.134,66.129,66.129
UY,Small Hydro,0,0,0,0,0,0
VE,Small Hydro,26.33,26.33,26.33,25.81,25.81,25.81
VN,Small Hydro,500,410,934,1626,1870,1890
ZA,Small Hydro,68,68,68,71,71,71
ZM,Small Hydro,64.5,64.5,76.5,76.5,92.75,92.75
ZW,Small Hydro,2.364,2.364,5.094,7.294,22.29,25.01
AR,Solar,0,1,6.2,8.2,8,8
BB,Solar,0,0,0,0,0,8
BD,Solar,0,0,0,0,0,0
BO,Solar,0,0,0,0,0,5
BR,Solar,0.09433,1.19469,2.689729,3.715959,14.138291,25.584227
BS,Solar,0,0,0,0,0,0
BW,Solar,0,0,1.3,1.3,1.3,1.3
BZ,Solar,0,0,0.5,0.5,0.5,0.5
CD,Solar,0,0,0,0,0,0
CI,Solar,0,0,0,0,0,0
CL,Solar,,,2.6,5.86,270.9,575.76
CM,Solar,0,0.009,0.009,0.009,2.45,4.891
CN,Solar,256.2,2140,3280,13655,24860,41580
CO,Solar,0,0,0,0,0,0
CR,Solar,0,0,0,0,1,1
DO,Solar,0,0,0,1.5,1.5,3
EC,Solar,0,0,0,4,13,26.47
EG,Solar,0,20,40,40,40,40
ET,Solar,0,0,0,0,0,0
GH,Solar,,,,2.5,2.5,2.5
GT,Solar,                -  ,                -  ,                -  ,                -  ,5,85
GY,Solar,0,0,0,0,0,0
HN,Solar,0,0,0,0,0,388
HT,Solar,0,0,0,0,0,0
ID,Solar,14,14,14,43,79,80
IN,Solar,19,368,1176,2180,3063,4788
IN-AP,Solar,0,7,22,65.15,132.55,169.8
IN-BR,Solar,0,0,0,0,0,0
IN-MP,Solar,0,0,8.3,254.765,356,678.58
IN-OR,Solar,0,0,5,30.5,31.76,66.92
IN-UP,Solar,0,0,14,14,22,140
IN-WB,Solar,0,1,2,7,7,7.21
JM,Solar,0,0,0,0,0,0
JO,Solar,0,,,,,65
KE,Solar,0,0,0,0.7,0.7,2.169
LB,Solar,,,,,,1
LK,Solar,0,1.4,1.4,1.4,1.4,1.4
LR,Solar,0,0,0,0,0,0
MM,Solar,0,0,0,0,0,0
MW,Solar,,,,0.83,0.83,0.83
MX,Solar,0,0.787,6.787,38.27308,56,56
MZ,Solar,0,0,0,0,0,0
NG,Solar,0,0,0,0,0,0
NI,Solar,                -  ,                -  ,                -  ,                -  ,1,1.38
NP,Solar,0,0,0,0,0,0.1
PA,Solar,0,0,0,0,12.76,42.7
PE,Solar,0,0,80,80,96,96
PK,Solar,0,0,0,0,0,100
PY,Solar,0,0,0,0,0,0
RW,Solar,0.25,0.25,0.25,0.25,8.75,8.75
SL,Solar,0,0,0,0,0,0
SN,Solar,0,0,0,0,0,0
SR,Solar,0,0,0,0,5,5
SV,Solar,                -  ,                -  ,                -  ,                -  ,                -  ,11.7
TJ,Solar,0,0,0,0,0,0
TT,Solar,0,0,0,0,0,0
TZ,Solar,0,0,0,0,0,0
UG,Solar,0,0,0,0,0,0.6
UY,Solar,0.14,0.39,0.61,1.6,3.7,64.4
VE,Solar,0,0,2.27,2.32,2.32,2.32
VN,Solar,0,0,0,4,4,4
ZA,Solar,,1.2,2.2,176.6,1085.9,1187
ZM,Solar,0,0,0,0,0,0
ZW,Solar,0,0,0,0,0,0
AR,Wind,0,8,111.8,164.8,187.25,187
BB,Wind,0,0,0,0,0,0
BD,Wind,0,0,0,0,0,0
BO,Wind,0,0,0,0,3,3
BR,Wind,931.8625,1531.2125,1888.56074,2230.75274,5001.63722,7632.73222
BS,Wind,0,0,0,0,0,0
BW,Wind,0,0,0,0,0,0
BZ,Wind,0,0,0,0,0,0
CD,Wind,0,0,0,0,0,0
CI,Wind,0,0,0,0,0,0
CL,Wind,178.89,198.69,198.69,337.89,830.9,906.9
CM,Wind,0.0026,0.0026,0.0044,0.0044,0.0044,0.0044
CN,Wind,29575,46230,60830,75930,96570,128300
CO,Wind,18.4,18.4,18.4,18,18.4,18.4
CR,Wind,49.5,62.25,77.55,77.55,196.46,267.46
DO,Wind,0,33.45,33.45,85.45,85.5,85.5
EC,Wind,2,2,2,19,21,21.15
EG,Wind,495,552,552,552,552,552
ET,Wind,               -  ,               -  ,51,171,171,321
GH,Wind,0,0,0,0,0,0
GT,Wind,                -  ,                -  ,                -  ,                -  ,                -  ,75.9
GY,Wind,0,0,0,0,0,0
HN,Wind,0,102,102,102,152,152
HT,Wind,0,0,0,0,0,0
ID,Wind,0.34,0.93,0.93,0.63,1.12,6.5
IN,Wind,13184,16078,18550,20149,22466,25088
IN-AP,Wind,166.87,196.87,420.32,628.82,901.92,1155.12
IN-BR,Wind,0,0,0,0,0,0
IN-MP,Wind,237.2,330,386,386,567.3,1126
IN-OR,Wind,0,0,0,0,0,0
IN-UP,Wind,0,0,0,0,0,0
IN-WB,Wind,2,2,2,2,2,2
JM,Wind,23.7,41.7,41.7,41.7,41.9,41.9
JO,Wind,1,1,1,1,1,118
KE,Wind,5,5,5,5.6,24.4,26.05
LB,Wind,0,0,0,0,0,0
LK,Wind,33.2,36.2,76,81.5,131.5,131.5
LR,Wind,0,0,0,0,0,0
MM,Wind,0,0,0,0,0,0
MW,Wind,0,0,0,0,0,0
MX,Wind,546.5,628,1331.65,1638.05,2036,2805
MZ,Wind,0,0,0,0,0,0
NG,Wind,0,0,0,0,0,0
NI,Wind,63,63,147,147,186,186.2
NP,Wind,0,0,0,0,0,0
PA,Wind,0,0,0,0,55,205
PE,Wind,0,0,0,0,142,142
PK,Wind,0,0,0,50,106,308
PY,Wind,0,0,0,0,0,0
RW,Wind,0,0,0,0,0,0
SL,Wind,0,0,0,0,0,0
SN,Wind,0,0,0,0,0,0
SR,Wind,0,0,0,0,0,0
SV,Wind,0,0,0,0,0,0
TJ,Wind,0,0,0,0,0,0
TT,Wind,0,0,0,0,0,0
TZ,Wind,0,0,0,0,0,0
UG,Wind,0,0,0,0,0,0
UY,Wind,40.6,43.61,52.61,59.4,481.3,856.8
VE,Wind,0,0,6.3,50.2,50.2,50.2
VN,Wind,0,0,30,46,52,53
ZA,Wind,7,7,7,7,578,1078
ZM,Wind,0,0,0,0,0,0
ZW,Wind,0,0,0,0,0,0
