sub_indicator,iso,2014
q4,CN-52,0
q5,CN-52,1
q6,CN-52,2
q7,CN-52,2
q8,CN-52,1
q9,CN-52,2
q10,CN-52,0
q11,CN-52,4
q12,CN-52,0
q1,IN,0
q2,IN,1
q3,IN,0
q4,IN,1
q5,IN,0
q6,IN,1
q7,IN,0
q8,IN,0
q9,IN,1
q10,IN,3
q11,IN,1
q12,IN,3
q1,IN-AP,0
q2,IN-AP,1
q3,IN-AP,0
q4,IN-AP,2
q5,IN-AP,1
q6,IN-AP,1
q7,IN-AP,0
q8,IN-AP,1
q9,IN-AP,2
q10,IN-AP,3
q11,IN-AP,1
q12,IN-AP,3
q1,IN-GJ,0
q2,IN-GJ,1
q3,IN-GJ,0
q4,IN-GJ,1
q5,IN-GJ,0
q6,IN-GJ,1
q7,IN-GJ,0
q8,IN-GJ,0
q9,IN-GJ,0
q10,IN-GJ,3
q11,IN-GJ,1
q12,IN-GJ,0
q1,IN-KA,0
q2,IN-KA,1
q3,IN-KA,0
q4,IN-KA,1
q5,IN-KA,1
q6,IN-KA,1
q7,IN-KA,0
q8,IN-KA,0
q9,IN-KA,1
q10,IN-KA,3
q11,IN-KA,1
q12,IN-KA,2
q1,IN-MP,0
q2,IN-MP,1
q3,IN-MP,0
q4,IN-MP,1
q5,IN-MP,1
q6,IN-MP,2
q7,IN-MP,0
q8,IN-MP,2
q9,IN-MP,2
q10,IN-MP,3
q11,IN-MP,1
q12,IN-MP,3
q1,IN-MH,0
q2,IN-MH,1
q3,IN-MH,0
q4,IN-MH,1
q5,IN-MH,1
q6,IN-MH,1
q7,IN-MH,0
q8,IN-MH,0
q9,IN-MH,1
q10,IN-MH,3
q11,IN-MH,1
q12,IN-MH,1
q1,IN-PB,0
q2,IN-PB,1
q3,IN-PB,0
q4,IN-PB,1
q5,IN-PB,1
q6,IN-PB,2
q7,IN-PB,0
q8,IN-PB,1
q9,IN-PB,2
q10,IN-PB,3
q11,IN-PB,1
q12,IN-PB,3
q1,IN-RJ,0
q2,IN-RJ,1
q3,IN-RJ,0
q4,IN-RJ,1
q5,IN-RJ,1
q6,IN-RJ,2
q7,IN-RJ,0
q8,IN-RJ,1
q9,IN-RJ,2
q10,IN-RJ,3
q11,IN-RJ,1
q12,IN-RJ,4
q1,IN-TN,0
q2,IN-TN,1
q3,IN-TN,0
q4,IN-TN,2
q5,IN-TN,1
q6,IN-TN,1
q7,IN-TN,0
q8,IN-TN,1
q9,IN-TN,2
q10,IN-TN,3
q11,IN-TN,1
q12,IN-TN,3
q1,IN-UP,0
q2,IN-UP,1
q3,IN-UP,0
q4,IN-UP,1
q5,IN-UP,1
q6,IN-UP,2
q7,IN-UP,0
q8,IN-UP,1
q9,IN-UP,1
q10,IN-UP,3
q11,IN-UP,1
q12,IN-UP,4
q1,IN-WB,0
q2,IN-WB,1
q3,IN-WB,0
q4,IN-WB,1
q5,IN-WB,1
q6,IN-WB,2
q7,IN-WB,0
q8,IN-WB,1
q9,IN-WB,1
q10,IN-WB,3
q11,IN-WB,1
q12,IN-WB,2
q1,ID,1
q2,ID,1
q3,ID,2
q4,ID,1
q5,ID,2
q6,ID,2
q7,ID,2
q8,ID,2
q9,ID,2
q10,ID,0
q11,ID,3
q12,ID,3
q1,MM,1
q2,MM,1
q3,MM,2
q4,MM,1
q5,MM,0
q6,MM,2
q7,MM,2
q8,MM,2
q9,MM,2
q10,MM,3
q11,MM,0
q12,MM,3
q1,NP,2
q2,NP,2
q3,NP,2
q4,NP,2
q5,NP,1
q6,NP,2
q7,NP,2
q8,NP,2
q9,NP,-7
q10,NP,3
q11,NP,3
q12,NP,3
q1,PK,2
q2,PK,1
q3,PK,1
q4,PK,1
q5,PK,1
q6,PK,2
q7,PK,2
q8,PK,1
q9,PK,2
q10,PK,3
q11,PK,4
q12,PK,4
q1,SL,0
q2,SL,2
q3,SL,2
q4,SL,1
q5,SL,1
q6,SL,2
q7,SL,0
q8,SL,1
q9,SL,2
q10,SL,2
q11,SL,0
q12,SL,3
q1,TJ,2
q2,TJ,2
q3,TJ,2
q4,TJ,2
q5,TJ,1
q6,TJ,2
q7,TJ,2
q8,TJ,2
q9,TJ,2
q10,TJ,3
q11,TJ,4
q12,TJ,4
q1,VN,1
q2,VN,1
q3,VN,2
q4,VN,1
q5,VN,1
q6,VN,2
q7,VN,1
q8,VN,2
q9,VN,2
q10,VN,1
q11,VN,4
q12,VN,3
q1,AR,0
q2,AR,1
q3,AR,0
q4,AR,0
q5,AR,1
q6,AR,2
q7,AR,0
q8,AR,0
q9,AR,0
q10,AR,2
q11,AR,1
q12,AR,3
q1,BS,2
q2,BS,2
q3,BS,2
q4,BS,1
q5,BS,2
q6,BS,2
q7,BS,2
q8,BS,2
q9,BS,2
q10,BS,2
q11,BS,0
q12,BS,3
q1,BB,2
q2,BB,2
q3,BB,2
q4,BB,1
q5,BB,2
q6,BB,2
q7,BB,2
q8,BB,2
q9,BB,2
q10,BB,1
q11,BB,1
q12,BB,1
q1,BZ,1
q2,BZ,2
q3,BZ,2
q4,BZ,1
q5,BZ,1
q6,BZ,2
q7,BZ,2
q8,BZ,2
q9,BZ,2
q10,BZ,2
q11,BZ,0
q12,BZ,3
q1,BO,1
q2,BO,1
q3,BO,0
q4,BO,2
q5,BO,2
q6,BO,2
q7,BO,2
q8,BO,1
q9,BO,1
q10,BO,1
q11,BO,1
q12,BO,0
q1,BR,0
q2,BR,1
q3,BR,0
q4,BR,1
q5,BR,0
q6,BR,2
q7,BR,0
q8,BR,0
q9,BR,0
q10,BR,1
q11,BR,4
q12,BR,1
q1,CL,0
q2,CL,1
q3,CL,0
q4,CL,1
q5,CL,0
q6,CL,2
q7,CL,0
q8,CL,0
q9,CL,0
q10,CL,
q11,CL,
q12,CL,1
q1,CO,0
q2,CO,1
q3,CO,0
q4,CO,1
q5,CO,0
q6,CO,2
q7,CO,0
q8,CO,0
q9,CO,0
q10,CO,0
q11,CO,3
q12,CO,1
q1,CR,1
q2,CR,2
q3,CR,2
q4,CR,0
q5,CR,1
q6,CR,2
q7,CR,2
q8,CR,2
q9,CR,2
q10,CR,1
q11,CR,1
q12,CR,1
q1,DO,0
q2,DO,1
q3,DO,0
q4,DO,2
q5,DO,1
q6,DO,2
q7,DO,0
q8,DO,1
q9,DO,0
q10,DO,3
q11,DO,4
q12,DO,4
q1,EC,0
q2,EC,1
q3,EC,0
q4,EC,1
q5,EC,1
q6,EC,2
q7,EC,0
q8,EC,1
q9,EC,1
q10,EC,1
q11,EC,1
q12,EC,3
q1,SV,0
q2,SV,1
q3,SV,0
q4,SV,1
q5,SV,1
q6,SV,2
q7,SV,0
q8,SV,1
q9,SV,1
q10,SV,1
q11,SV,3
q12,SV,2
q1,GT,0
q2,GT,1
q3,GT,0
q4,GT,1
q5,GT,0
q6,GT,2
q7,GT,0
q8,GT,0
q9,GT,0
q10,GT,1
q11,GT,3
q12,GT,2
q1,GY,1
q2,GY,2
q3,GY,2
q4,GY,0
q5,GY,1
q6,GY,2
q7,GY,2
q8,GY,2
q9,GY,2
q10,GY,3
q11,GY,3
q12,GY,3
q1,HT,2
q2,HT,2
q3,HT,2
q4,HT,1
q5,HT,1
q6,HT,2
q7,HT,2
q8,HT,2
q9,HT,2
q10,HT,3
q11,HT,4
q12,HT,4
q1,HN,1
q2,HN,2
q3,HN,2
q4,HN,1
q5,HN,1
q6,HN,2
q7,HN,2
q8,HN,1
q9,HN,2
q10,HN,2
q11,HN,3
q12,HN,3
q1,JM,1
q2,JM,2
q3,JM,2
q4,JM,1
q5,JM,1
q6,JM,2
q7,JM,2
q8,JM,1
q9,JM,2
q10,JM,2
q11,JM,1
q12,JM,2
q1,MX,2
q2,MX,2
q3,MX,2
q4,MX,1
q5,MX,0
q6,MX,2
q7,MX,2
q8,MX,1
q9,MX,2
q10,MX,1
q11,MX,2
q12,MX,1
q1,NI,2
q2,NI,1
q3,NI,2
q4,NI,2
q5,NI,1
q6,NI,2
q7,NI,0
q8,NI,0
q9,NI,1
q10,NI,3
q11,NI,4
q12,NI,3
q1,PA,0
q2,PA,1
q3,PA,0
q4,PA,1
q5,PA,0
q6,PA,2
q7,PA,0
q8,PA,0
q9,PA,1
q10,PA,0
q11,PA,0
q12,PA,1
q1,PY,2
q2,PY,2
q3,PY,2
q4,PY,1
q5,PY,1
q6,PY,2
q7,PY,2
q8,PY,2
q9,PY,2
q10,PY,2
q11,PY,0
q12,PY,3
q1,PE,0
q2,PE,1
q3,PE,0
q4,PE,1
q5,PE,0
q6,PE,2
q7,PE,0
q8,PE,1
q9,PE,0
q10,PE,0
q11,PE,3
q12,PE,1
q1,SR,1
q2,SR,2
q3,SR,2
q4,SR,2
q5,SR,2
q6,SR,2
q7,SR,2
q8,SR,1
q9,SR,2
q10,SR,0
q11,SR,3
q12,SR,2
q1,TT,1
q2,TT,2
q3,TT,2
q4,TT,1
q5,TT,1
