iso,sub_indicator,2006,2007,2008,2009,2010,2011,2012,2013,2014
SL,Clean Energy,4.75,4.75,6.75,56.75,56.75,56.75,56.75,56.75,88.75
ZA,Non-clean Energy,40214.00,40214.00,40494.00,40494.00,40494.00,40849.00,40849.00,42914.00,42949.00
ZA,Clean Energy,309.10,313.30,315.30,322.30,324.10,326.40,328.40,511.20,1988.90
LK,Non-clean Energy,2072.50,2072.50,2242.50,2263.00,2347.50,2647.50,2735.00,2759.00,3359.00
LK,Clean Energy,360.85,367.45,398.35,434.65,470.15,493.13,550.91,600.78,673.90
SR,Non-clean Energy,337.00,348.00,335.00,348.00,386.00,379.00,379.00,379.00,379.00
SR,Clean Energy,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
TJ,Non-clean Energy,4356.74,4356.74,4859.24,5026.74,5026.74,5136.74,5136.74,5201.10,5316.00
TJ,Clean Energy,62.42,62.42,62.42,62.42,62.42,62.42,64.48,71.08,128.00
TZ,Non-clean Energy,827.40,827.40,827.40,872.40,974.40,1187.40,1397.40,1460.40,1554.00
TZ,Clean Energy,31.00,31.00,31.00,31.00,48.50,48.50,53.90,53.90,53.90
TT,Non-clean Energy,1417.00,1590.00,1590.00,1641.00,1851.00,2000.00,2339.00,2368.00,2368.00
TT,Clean Energy,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UG,Non-clean Energy,400.00,400.00,530.00,546.00,546.00,546.00,752.00,752.00,753.00
UG,Clean Energy,19.50,19.50,45.90,52.70,60.10,90.10,102.60,146.50,153.50
UY,Non-clean Energy,2235.09,2233.37,2339.13,2416.85,2414.29,2414.29,2614.33,2812.90,2812.90
UY,Clean Energy,14.45,172.60,187.27,203.31,276.34,287.10,303.32,481.10,905.70
VE,Non-clean Energy,22525.00,22525.00,23155.00,23699.00,24829.00,25680.00,27471.00,30212.00,30326.47
VE,Clean Energy,0.00,0.00,0.00,26.33,26.33,26.33,34.90,78.33,78.33
VN,Non-clean Energy,11973.00,13215.00,15091.00,17550.00,18724.00,22897.00,25267.00,28734.00,31818.00
VN,Clean Energy,454.00,454.00,454.00,500.00,500.00,524.00,1078.00,1786.00,2030.00
ZM,Non-clean Energy,1756.50,1756.50,1756.50,1756.50,1756.50,1780.50,1780.50,1960.50,2308.00
ZM,Clean Energy,74.50,74.50,74.50,104.50,104.50,104.50,110.50,110.50,131.30
ZW,Non-clean Energy,1920.00,1920.00,1920.00,1920.00,1920.00,1920.00,1920.00,1920.00,1920.00
ZW,Clean Energy,56.76,56.76,56.76,56.76,57.86,76.36,79.09,81.29,96.29
