iso,chain,sub_chain,2015
EC,Biofuels,Biofuels - Producers,1
EG,Biofuels,Biofuels - Producers,1
SV,Biofuels,Biofuels - Producers,1
ET,Biofuels,Biofuels - Producers,1
GH,Biofuels,Biofuels - Producers,1
GT,Biofuels,Biofuels - Producers,1
GY,Biofuels,Biofuels - Producers,0
HT,Biofuels,Biofuels - Producers,0
HN,Biofuels,Biofuels - Producers,1
IN,Biofuels,Biofuels - Producers,1
IN-AP,Biofuels,Biofuels - Producers,1
IN-BR,Biofuels,Biofuels - Producers,1
IN-MP,Biofuels,Biofuels - Producers,1
IN-OR,Biofuels,Biofuels - Producers,1
IN-UP,Biofuels,Biofuels - Producers,1
IN-WB,Biofuels,Biofuels - Producers,1
ID,Biofuels,Biofuels - Producers,1
JM,Biofuels,Biofuels - Producers,1
JO,Biofuels,Biofuels - Producers,0
KE,Biofuels,Biofuels - Producers,1
LB,Biofuels,Biofuels - Producers,0
LR,Biofuels,Biofuels - Producers,0
MW,Biofuels,Biofuels - Producers,1
MX,Biofuels,Biofuels - Producers,1
MZ,Biofuels,Biofuels - Producers,1
MM,Biofuels,Biofuels - Producers,1
NP,Biofuels,Biofuels - Producers,0
NI,Biofuels,Biofuels - Producers,1
NG,Biofuels,Biofuels - Producers,1
PK,Biofuels,Biofuels - Producers,1
PA,Biofuels,Biofuels - Producers,0
PY,Biofuels,Biofuels - Producers,1
PE,Biofuels,Biofuels - Producers,1
RW,Biofuels,Biofuels - Producers,1
SN,Biofuels,Biofuels - Producers,1
SL,Biofuels,Biofuels - Producers,1
ZA,Biofuels,Biofuels - Producers,1
LK,Biofuels,Biofuels - Producers,1
SR,Biofuels,Biofuels - Producers,1
TJ,Biofuels,Biofuels - Producers,0
TZ,Biofuels,Biofuels - Producers,0
TT,Biofuels,Biofuels - Producers,0
UG,Biofuels,Biofuels - Producers,1
UY,Biofuels,Biofuels - Producers,1
VE,Biofuels,Biofuels - Producers,1
VN,Biofuels,Biofuels - Producers,1
ZM,Biofuels,Biofuels - Producers,1
