iso,sub_indicator,2014
IN-PB,kerosene,0.26
IN-RJ,spot_electricity,58.2
IN-RJ,retail_electricity,95.22
IN-RJ,residential_electricity,98.07
IN-RJ,commercial_electricity,120.74
IN-RJ,industrial_electricity,103.85
IN-RJ,diesel,0.88
IN-RJ,kerosene,0.26
IN-TN,spot_electricity,58.2
IN-TN,retail_electricity,83
IN-TN,residential_electricity,59.69
IN-TN,commercial_electricity,117.49
IN-TN,industrial_electricity,95.76
IN-TN,diesel,0.89
IN-TN,kerosene,0.22
IN-UP,spot_electricity,58.2
IN-UP,retail_electricity,92.84
IN-UP,residential_electricity,62.96
IN-UP,commercial_electricity,128.52
IN-UP,industrial_electricity,121.69
IN-UP,diesel,0.91
IN-UP,kerosene,0.26
IN-WB,spot_electricity,58.2
IN-WB,retail_electricity,86.67
IN-WB,residential_electricity,90.08
IN-WB,commercial_electricity,99.73
IN-WB,industrial_electricity,98.68
IN-WB,diesel,0.89
IN-WB,kerosene,0.24
ID,spot_electricity,
ID,retail_electricity,83.52
ID,residential_electricity,77.81
ID,commercial_electricity,107.42
ID,industrial_electricity,80.61
ID,diesel,
ID,kerosene,
JM,spot_electricity,
JM,retail_electricity,334.05
JM,residential_electricity,369.9
JM,commercial_electricity,345.69
JM,industrial_electricity,286.56
JM,diesel,
JM,kerosene,
KE,spot_electricity,
KE,retail_electricity,243.84
KE,residential_electricity,203.18
KE,commercial_electricity,188.03
KE,industrial_electricity,340.32
KE,diesel,1.14
KE,kerosene,1.24
LR,spot_electricity,
LR,retail_electricity,570
LR,residential_electricity,
LR,commercial_electricity,
LR,industrial_electricity,
LR,diesel,1.03
LR,kerosene,0.89
MW,spot_electricity,
MW,retail_electricity,84.62
MW,residential_electricity,90.1
MW,commercial_electricity,1112.22
MW,industrial_electricity,79.46
MW,diesel,2
MW,kerosene,1.73
MX,spot_electricity,
MX,retail_electricity,118.88
MX,residential_electricity,90.12
MX,commercial_electricity,228.26
MX,industrial_electricity,121.51
MX,diesel,
MX,kerosene,
MZ,spot_electricity,
MZ,retail_electricity,95.4
MZ,residential_electricity,97.9
MZ,commercial_electricity,144.33
MZ,industrial_electricity,43.96
MZ,diesel,1.22
MZ,kerosene,0.89
MM,spot_electricity,
MM,retail_electricity,51.79
MM,residential_electricity,34.31
MM,commercial_electricity,34.31
MM,industrial_electricity,73.53
MM,diesel,1.07
MM,kerosene,0.76
NP,spot_electricity,
NP,retail_electricity,93
NP,residential_electricity,80
NP,commercial_electricity,114
NP,industrial_electricity,85
NP,diesel,1.07
NP,kerosene,1.07
NI,spot_electricity,157.38
NI,retail_electricity,243.45
NI,residential_electricity,224.77
NI,commercial_electricity,286.81
NI,industrial_electricity,218.76
NI,diesel,
NI,kerosene,
NG,spot_electricity,76.41
NG,retail_electricity,129.57
NG,residential_electricity,135.82
NG,commercial_electricity,167.48
NG,industrial_electricity,146.85
NG,diesel,0.91
NG,kerosene,0.73
PK,spot_electricity,
PK,retail_electricity,146
PK,residential_electricity,133
PK,commercial_electricity,157
PK,industrial_electricity,147
PK,diesel,0.98
PK,kerosene,1.05
PA,spot_electricity,213.76
PA,retail_electricity,164.53
PA,residential_electricity,225.9
PA,commercial_electricity,192.7
PA,industrial_electricity,75
PA,diesel,
PA,kerosene,
PY,spot_electricity,
PY,retail_electricity,69.45
PY,residential_electricity,80.07
PY,commercial_electricity,75.13
PY,industrial_electricity,55.62
PY,diesel,
PY,kerosene,
PE,spot_electricity,25.24
PE,retail_electricity,115
PE,residential_electricity,150
PE,commercial_electricity,117
PE,industrial_electricity,78
PE,diesel,
PE,kerosene,
RW,spot_electricity,
RW,retail_electricity,190.2
RW,residential_electricity,196.05
RW,commercial_electricity,
RW,industrial_electricity,184.34
RW,diesel,1.47
RW,kerosene,1.46
SN,spot_electricity,
SN,retail_electricity,236.84
SN,residential_electricity,222.75
SN,commercial_electricity,301.7
SN,industrial_electricity,219.67
